                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1568,                0.73877,                 1.0885,                0.93822,                0.86544,                0.89897,                0.59456,                 1.1204,                0.64307,                 1.0762,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1494,                0.72837,                 1.0858,                0.94874,                 0.8622,                0.90316,                 0.5928,                  1.142,                0.63812,                 1.0829,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1526,                 0.7159,                 1.0839,                0.94789,                 0.8631,                0.90373,                0.59937,                 1.1236,                0.63564,                 1.0737,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1337,                0.72341,                 1.0799,                0.94659,                0.86954,                0.90722,                0.60293,                 1.1155,                0.62274,                 1.0746,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.133,                0.71814,                 1.0815,                0.93483,                0.87396,                0.90956,                0.59849,                 1.1399,                0.61891,                 1.0835,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1272,                0.71503,                 1.0799,                 0.9552,                0.86818,                0.90971,                 0.6017,                 1.1211,                0.61728,                 1.0696,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1321,                 0.7086,                 1.0767,                0.94913,                0.86249,                0.90668,                0.60682,                 1.1167,                0.61396,                   1.07,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1227,                 0.7014,                 1.0685,                0.95384,                0.86143,                0.90651,                0.60428,                 1.1285,                 0.6121,                 1.0817,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1226,                0.70558,                 1.0727,                 0.9589,                0.87129,                0.90979,                0.60698,                  1.109,                  0.614,                 1.0711,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1146,                0.69395,                 1.0706,                0.95711,                0.86717,                0.90825,                0.60558,                  1.115,                0.61127,                 1.0724,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1202,                0.70153,                 1.0718,                0.95704,                0.86635,                0.90946,                 0.6074,                   1.11,                0.59973,                 1.0658,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1099,                0.68605,                 1.0675,                0.95148,                0.87252,                0.90861,                0.60735,                  1.111,                0.60067,                 1.0643,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1188,                0.69407,                 1.0666,                 0.9583,                 0.8665,                 0.9104,                0.61118,                 1.1008,                0.59536,                 1.0695,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.106,                0.68168,                 1.0663,                0.95276,                0.87769,                0.91412,                0.60988,                 1.1051,                0.58961,                 1.0632,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0975,                0.67247,                 1.0606,                0.95383,                0.87475,                0.91371,                0.61621,                 1.0944,                0.58875,                 1.0571,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0996,                0.66622,                 1.0567,                 0.9549,                0.87359,                0.91629,                0.61134,                 1.0897,                 0.5867,                  1.055,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0998,                0.67528,                 1.0645,                0.95834,                0.87299,                0.91543,                0.61083,                 1.1034,                0.60634,                 1.0574,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0963,                0.67053,                 1.0631,                 0.9551,                0.87556,                0.91529,                0.61074,                  1.105,                0.58338,                  1.057,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0994,                0.67285,                 1.0626,                0.95689,                0.87395,                0.91357,                0.61056,                 1.1078,                0.59126,                 1.0527,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0763,                0.66062,                 1.0562,                0.95287,                0.87812,                0.91102,                0.61394,                 1.0894,                0.57687,                 1.0518,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0876,                0.65762,                  1.052,                0.95363,                0.88159,                0.91545,                0.61241,                 1.0994,                0.57148,                 1.0504,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.072,                0.65117,                 1.0449,                0.96091,                0.86964,                0.91358,                0.61874,                 1.0869,                0.57493,                 1.0466,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0711,                0.65454,                 1.0491,                0.95261,                0.87516,                0.91438,                 0.6177,                 1.0995,                0.57952,                 1.0563,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0724,                0.64592,                 1.0528,                0.95417,                 0.8722,                0.91203,                0.61273,                 1.0935,                0.58167,                 1.0531,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0689,                0.64316,                 1.0502,                0.95984,                0.87538,                0.91333,                0.61537,                 1.0982,                0.57014,                 1.0569,             0.00072631,             0.00072631,             0.00072631
